Time,S,T,T1,P,V,I
16:34,572,"44,3","49,3","2930,12014280097","616,18448430168","4,75526440124772"
16:39,560,"42,5","47,5","2872,10289936931","620,347504502967","4,62982905310546"
16:43,513,"42,4","47,4","2621,33851929207","619,693745141714","4,23005482924895"
16:49,536,"41,8","46,8","2746,21436854643","621,525570650485","4,41850584791268"
16:54,547,"42,1","47,1","2807,10105352823","618,916202778601","4,53551068937258"
16:58,628,"42,6","47,6","3243,30103091812","607,211861713528","5,3413005170315"
17:03,498,"42,6","47,6","2534,38646770207","622,302278601873","4,07259712015852"
17:09,416,"41,2","46,2","2109,6607789609","587,693069608079","3,58973227363017"
17:14,485,"40,3","45,3","2479,6228978633","593,963350120008","4,1747069029803"
17:18,432,"40,6","45,6","2192,53862089709","586,849802892704","3,73611545933834"
17:24,552,41,46,"2830,10382648452","626,088378058207","4,52029445948508"
17:29,636,42,47,"3287,75766385119","607,965919495148","5,40779928352123"
17:33,379,"41,9","46,9","1916,31053235979","605,516117980838","3,16475561170849"
17:38,358,"40,7","45,7","1796,98367777939","616,959747775422","2,91264330332536"
17:44,336,"40,2","45,2","1692,06206757327","596,137951459795","2,83837333863718"
17:49,411,"39,2","44,2","2081,33650465681","586,477864723727","3,54887478257559"
17:53,496,"39,5","44,5","2529,1143473775","588,374529749538","4,29847693858213"
17:59,385,40,45,"1952,10308388392","610,853173776483","3,19569933936074"
18:04,317,"39,3","44,3","1592,45068187828","597,188123463884","2,66658129877324"
18:09,349,"38,7","43,7","1764,19144864845","600,721650894131","2,93678685631287"
18:13,289,"38,1","43,1","1444,69273021759","602,669195673645","2,39715708151096"
18:19,318,"37,2","42,2","1601,31068831368","603,669048263165","2,65263010074951"
18:24,263,"36,6","41,6","1308,95317265215","595,175326308217","2,19927324738307"
18:28,266,"36,1","41,1","1323,02698761725","588,685955888574","2,24742407115903"
18:33,291,"36,8","41,8","1452,76766635838","586,823130578168","2,47564826718238"
18:39,307,"36,9","41,9","1538,5135872427","615,088535169414","2,50128802485149"
18:44,310,"36,7","41,7","1559,13873199298","606,655045849663","2,57005812884866"
18:48,299,"36,6","41,6","1500,01621246086","608,06127575123","2,46688330975799"
18:54,276,"36,1","41,1","1377,3601480538","592,79323867","2,32350853249282"
18:59,217,"35,6","40,6","1066,37436775055","597,339466839379","1,7852066152483"
19:03,193,"34,9","39,9","939,078816346526","578,236166622797","1,62404026339487"
19:08,163,"33,8","38,8","784,531177694528","592,52109149799","1,32405612045152"
19:14,180,"33,1","38,1","873,598140167995","599,076790273079","1,45824067023157"
19:19,169,32,37,"818,110115625016","592,692243779742","1,38032870214013"
19:23,149,"31,7","36,7","712,994049141885","575,522192888629","1,23886456152675"
19:29,90,"31,2","36,2","411,91609714451","576,293934234901","0,714767365530886"
19:34,94,"29,9","34,9","433,156162773402","578,556182382836","0,748684701612571"
19:39,58,"29,2","34,2","256,024122559606","551,90453647048","0,463892042266805"
19:43,49,"28,8","33,8","212,708707574221","546,676251643995","0,389094472157061"
19:49,24,"28,1","33,1","96,8660465426063","505,127912439699","0,19176538092056"
19:54,19,"27,3","32,3","74,7765454961083","490,500175563776","0,152449579472955"
19:58,13,"26,6","31,6","49,0607172557389","475,746230485436","0,10312371199595"
08:02,120,21,26,"568,278260012216","584,783204253223","0,971775960525262"
08:08,83,"21,3","26,3","380,979005160082","568,578578533571","0,670055150763277"
08:13,62,"21,6","26,6","277,627482776542","559,921253433014","0,495833085588982"
08:17,70,"21,6","26,6","315,668328018337","555,968410031213","0,567781050726632"
08:23,67,"21,4","26,4","301,595237415684","584,148028255189","0,516299333092895"
08:28,65,"21,5","26,5","292,593817497234","565,827090142897","0,517108181270255"
08:33,68,"21,5","26,5","306,270043842537","585,874327640373","0,522757235457046"
08:37,69,"21,4","26,4","310,776049901022","588,978835581113","0,527652321486895"
08:43,60,"21,5","26,5","268,154047361753","565,156602983869","0,474477420852865"
08:48,62,"21,5","26,5","277,543914634587","558,802986991225","0,496675789313462"
08:52,69,"21,5","26,5","310,728874804845","588,826210094656","0,527708973340189"
08:57,93,"21,6","26,6","431,423684370156","575,133855959446","0,750127435378412"
